iteration,norm,alpha,lam,rms,timestamp
31357,2,0.01,0.301,4.47393591817258,15-02-2017 21:33:38
31357,2,0.01,0.301,4.47393591817258,15-02-2017 21:36:14
31334,2,0.01,0.301,4.473935918171304,15-02-2017 21:36:19
31626,2,0.01,0.301,4.473935918171057,15-02-2017 21:36:24
31588,2,0.01,0.301,4.4739359181710885,15-02-2017 21:36:30
32105,2,0.01,0.301,4.473935918170698,15-02-2017 21:36:35
31256,2,0.01,0.301,4.473935918173063,15-02-2017 21:36:40
31431,2,0.01,0.301,4.473935918172064,15-02-2017 21:36:45
31792,2,0.01,0.301,4.473935918170931,15-02-2017 21:36:51
31769,2,0.01,0.301,4.473935918170852,15-02-2017 21:36:56
31246,2,0.01,0.301,4.473935918172846,15-02-2017 21:37:01
31751,2,0.01,0.301,4.4739359181707385,15-02-2017 21:37:07
31449,2,0.01,0.301,4.473935918171642,15-02-2017 21:37:12
31673,2,0.01,0.301,4.473935918171133,15-02-2017 21:37:18
31546,2,0.01,0.301,4.47393591817163,15-02-2017 21:37:23
31783,2,0.01,0.301,4.473935918170619,15-02-2017 21:37:28
31611,2,0.01,0.301,4.4739359181711205,15-02-2017 21:37:34
31737,2,0.01,0.301,4.473935918170482,15-02-2017 21:37:39
31357,2,0.01,0.301,4.473935918172082,15-02-2017 21:37:44
31600,2,0.01,0.301,4.473935918170499,15-02-2017 21:37:49
31017,2,0.01,0.301,4.4739359181737015,15-02-2017 21:37:54
31241,2,0.01,0.301,4.473935918173375,15-02-2017 21:38:00
31600,2,0.01,0.301,4.473935918170871,15-02-2017 21:38:05
31833,2,0.01,0.301,4.473935918170684,15-02-2017 21:38:10
31742,2,0.01,0.301,4.473935918170715,15-02-2017 21:38:16
31676,2,0.01,0.301,4.473935918170617,15-02-2017 21:38:22
31300,2,0.01,0.301,4.473935918172534,15-02-2017 21:38:27
31339,2,0.01,0.301,4.473935918172681,15-02-2017 21:38:32
31416,2,0.01,0.301,4.473935918171381,15-02-2017 21:38:38
30852,2,0.01,0.301,4.473935918174369,15-02-2017 21:38:43
31861,2,0.01,0.301,4.473935918170118,15-02-2017 21:38:49
31327,2,0.01,0.301,4.473935918172163,15-02-2017 21:38:55
31492,2,0.01,0.301,4.473935918172102,15-02-2017 21:39:01
31470,2,0.01,0.301,4.47393591817171,15-02-2017 21:39:07
31421,2,0.01,0.301,4.473935918171722,15-02-2017 21:39:13
31289,2,0.01,0.301,4.473935918172261,15-02-2017 21:39:18
31271,2,0.01,0.301,4.473935918172535,15-02-2017 21:39:24
31385,2,0.01,0.301,4.473935918171985,15-02-2017 21:39:30
31515,2,0.01,0.301,4.473935918172039,15-02-2017 21:39:37
31459,2,0.01,0.301,4.473935918172403,15-02-2017 21:39:43
31791,2,0.01,0.301,4.473935918170232,15-02-2017 21:39:49
31717,2,0.01,0.301,4.473935918171553,15-02-2017 21:39:56
31828,2,0.01,0.301,4.4739359181704135,15-02-2017 21:40:03
31419,2,0.01,0.301,4.473935918171958,15-02-2017 21:40:10
31299,2,0.01,0.301,4.4739359181721285,15-02-2017 21:40:17
31204,2,0.01,0.301,4.473935918172063,15-02-2017 21:40:22
31412,2,0.01,0.301,4.473935918172254,15-02-2017 21:40:28
31273,2,0.01,0.301,4.473935918171728,15-02-2017 21:40:33
31428,2,0.01,0.301,4.473935918171806,15-02-2017 21:40:39
31854,2,0.01,0.301,4.473935918170479,15-02-2017 21:40:44
31693,2,0.01,0.301,4.473935918170646,15-02-2017 21:40:49
31826,2,0.01,0.301,4.473935918170447,15-02-2017 21:40:55
31546,2,0.01,0.301,4.47393591817147,15-02-2017 21:41:01
31782,2,0.01,0.301,4.473935918170773,15-02-2017 21:41:06
31583,2,0.01,0.301,4.473935918172412,15-02-2017 21:41:12
31201,2,0.01,0.301,4.473935918172732,15-02-2017 21:41:17
31399,2,0.01,0.301,4.47393591817163,15-02-2017 21:41:23
31533,2,0.01,0.301,4.473935918171244,15-02-2017 21:41:28
31637,2,0.01,0.301,4.473935918171298,15-02-2017 21:41:34
31362,2,0.01,0.301,4.473935918172471,15-02-2017 21:41:40
31660,2,0.01,0.301,4.473935918171773,15-02-2017 21:41:45
31500,2,0.01,0.301,4.473935918171617,15-02-2017 21:41:51
31718,2,0.01,0.301,4.473935918170718,15-02-2017 21:41:56
31362,2,0.01,0.301,4.473935918172063,15-02-2017 21:42:01
31413,2,0.01,0.301,4.473935918172003,15-02-2017 21:42:07
31609,2,0.01,0.301,4.473935918171325,15-02-2017 21:42:12
31498,2,0.01,0.301,4.473935918171617,15-02-2017 21:42:17
31885,2,0.01,0.301,4.473935918170864,15-02-2017 21:42:23
32073,2,0.01,0.301,4.473935918171315,15-02-2017 21:42:29
31501,2,0.01,0.301,4.473935918172404,15-02-2017 21:42:34
31266,2,0.01,0.301,4.473935918172951,15-02-2017 21:42:39
31334,2,0.01,0.301,4.473935918172216,15-02-2017 21:42:45
31444,2,0.01,0.301,4.47393591817159,15-02-2017 21:42:50
31428,2,0.01,0.301,4.47393591817171,15-02-2017 21:42:55
31668,2,0.01,0.301,4.473935918171066,15-02-2017 21:43:01
31690,2,0.01,0.301,4.473935918170589,15-02-2017 21:43:07
31586,2,0.01,0.301,4.473935918171352,15-02-2017 21:43:12
31566,2,0.01,0.301,4.473935918171352,15-02-2017 21:43:17
31302,2,0.01,0.301,4.473935918172587,15-02-2017 21:43:23
31090,2,0.01,0.301,4.473935918173694,15-02-2017 21:43:28
31004,2,0.01,0.301,4.473935918174369,15-02-2017 21:43:34
31184,2,0.01,0.301,4.47393591817287,15-02-2017 21:43:39
31548,2,0.01,0.301,4.473935918171381,15-02-2017 21:43:45
31361,2,0.01,0.301,4.473935918172906,15-02-2017 21:43:50
31419,2,0.01,0.301,4.473935918171945,15-02-2017 21:44:01
31689,2,0.01,0.301,4.4739359181706,15-02-2017 21:44:09
31718,2,0.01,0.301,4.473935918170739,15-02-2017 21:44:15
31694,2,0.01,0.301,4.473935918170803,15-02-2017 21:44:21
31320,2,0.01,0.301,4.47393591817064,15-02-2017 21:44:28
31514,2,0.01,0.301,4.473935918171586,15-02-2017 21:44:37
31177,2,0.01,0.301,4.473935918172963,15-02-2017 21:44:44
31820,2,0.01,0.301,4.473935918170511,15-02-2017 21:44:50
31617,2,0.01,0.301,4.473935918171129,15-02-2017 21:44:56
31197,2,0.01,0.301,4.47393591817306,15-02-2017 21:45:01
31761,2,0.01,0.301,4.4739359181705245,15-02-2017 21:45:07
31388,2,0.01,0.301,4.4739359181722245,15-02-2017 21:45:12
31477,2,0.01,0.301,4.473935918171933,15-02-2017 21:45:18
31576,2,0.01,0.301,4.47393591817163,15-02-2017 21:45:24
31841,2,0.01,0.301,4.47393591817029,15-02-2017 21:45:30
31420,2,0.01,0.301,4.473935918171774,15-02-2017 21:45:36
31382,2,0.01,0.301,4.473935918172277,15-02-2017 21:45:41
31733,2,0.01,0.301,4.473935918170789,15-02-2017 21:45:48
31225,2,0.01,0.301,4.47393591817258,15-02-2017 21:45:54
31520,2,0.01,0.301,4.47393591817129,15-02-2017 21:46:00
31433,2,0.01,0.301,4.473935918171543,15-02-2017 21:46:05
31298,2,0.01,0.301,4.473935918172625,15-02-2017 21:46:11
31568,2,0.01,0.301,4.4739359181710405,15-02-2017 21:46:16
31388,2,0.01,0.301,4.473935918172286,15-02-2017 21:46:22
31590,2,0.01,0.301,4.473935918172201,15-02-2017 21:46:28
31529,2,0.01,0.301,4.4739359181714065,15-02-2017 21:46:33
31464,2,0.01,0.301,4.473935918171992,15-02-2017 21:46:39
31647,2,0.01,0.301,4.473935918170742,15-02-2017 21:46:44
31215,2,0.01,0.301,4.47393591817204,15-02-2017 21:46:50
31501,2,0.01,0.301,4.473935918170882,15-02-2017 21:46:55
31647,2,0.01,0.301,4.473935918171022,15-02-2017 21:47:01
31885,2,0.01,0.301,4.47393591817005,15-02-2017 21:47:07
31396,2,0.01,0.301,4.473935918172231,15-02-2017 21:47:12
31515,2,0.01,0.301,4.4739359181716605,15-02-2017 21:47:18
31855,2,0.01,0.301,4.4739359181711675,15-02-2017 21:47:24
31721,2,0.01,0.301,4.473935918170811,15-02-2017 21:47:29
31217,2,0.01,0.301,4.473935918172733,15-02-2017 21:47:35
31481,2,0.01,0.301,4.473935918171628,15-02-2017 21:47:40
31580,2,0.01,0.301,4.473935918171249,15-02-2017 21:47:46
31783,2,0.01,0.301,4.473935918171324,15-02-2017 21:47:52
31575,2,0.01,0.301,4.473935918171103,15-02-2017 21:47:57
31604,2,0.01,0.301,4.473935918170733,15-02-2017 21:48:03
31219,2,0.01,0.301,4.473935918172963,15-02-2017 21:48:08
31290,2,0.01,0.301,4.473935918172503,15-02-2017 21:48:14
31180,2,0.01,0.301,4.473935918172957,15-02-2017 21:48:20
31173,2,0.01,0.301,4.473935918172964,15-02-2017 21:48:25
30841,2,0.01,0.301,4.4739359181753775,15-02-2017 21:48:31
31506,2,0.01,0.301,4.473935918172102,15-02-2017 21:48:37
31703,2,0.01,0.301,4.4739359181708105,15-02-2017 21:48:43
31751,2,0.01,0.301,4.473935918170971,15-02-2017 21:48:53
31729,2,0.01,0.301,4.473935918171427,15-02-2017 21:49:00
31599,2,0.01,0.301,4.473935918171127,15-02-2017 21:49:07
31252,2,0.01,0.301,4.47393591817264,15-02-2017 21:49:16
31481,2,0.01,0.301,4.473935918171542,15-02-2017 21:49:23
31510,2,0.01,0.301,4.473935918171152,15-02-2017 21:49:30
31159,2,0.01,0.301,4.473935918172531,15-02-2017 21:49:36
31152,2,0.01,0.301,4.473935918172815,15-02-2017 21:49:42
31662,2,0.01,0.301,4.4739359181713665,15-02-2017 21:49:48
31077,2,0.01,0.301,4.473935918170888,15-02-2017 21:49:53
31593,2,0.01,0.301,4.473935918171252,15-02-2017 21:49:59
31632,2,0.01,0.301,4.4739359181710014,15-02-2017 21:50:08
31516,2,0.01,0.301,4.473935918171631,15-02-2017 21:50:14
31685,2,0.01,0.301,4.473935918170639,15-02-2017 21:50:20
31543,2,0.01,0.301,4.473935918171631,15-02-2017 21:50:26
31541,2,0.01,0.301,4.473935918170784,15-02-2017 21:50:32
31456,2,0.01,0.301,4.473935918171303,15-02-2017 21:50:38
31674,2,0.01,0.301,4.4739359181707,15-02-2017 21:50:45
31396,2,0.01,0.301,4.473935918171584,15-02-2017 21:50:50
31200,2,0.01,0.301,4.4739359181743525,15-02-2017 21:50:55
31600,2,0.01,0.301,4.473935918172102,15-02-2017 21:51:01
31528,2,0.01,0.301,4.473935918171599,15-02-2017 21:51:06
31376,2,0.01,0.301,4.473935918171376,15-02-2017 21:51:14
31493,2,0.01,0.301,4.473935918171618,15-02-2017 21:51:20
31730,2,0.01,0.301,4.473935918170811,15-02-2017 21:51:27
31455,2,0.01,0.301,4.473935918171617,15-02-2017 21:51:35
31479,2,0.01,0.301,4.473935918172224,15-02-2017 21:51:42
31676,2,0.01,0.301,4.473935918170642,15-02-2017 21:51:47
31445,2,0.01,0.301,4.473935918171992,15-02-2017 21:51:53
31239,2,0.01,0.301,4.473935918172815,15-02-2017 21:51:59
31349,2,0.01,0.301,4.473935918172163,15-02-2017 21:52:04
31668,2,0.01,0.301,4.473935918170481,15-02-2017 21:52:10
31627,2,0.01,0.301,4.473935918170931,15-02-2017 21:52:16
31968,2,0.01,0.301,4.473935918170094,15-02-2017 21:52:23
31784,2,0.01,0.301,4.47393591817054,15-02-2017 21:52:29
30995,2,0.01,0.301,4.473935918173375,15-02-2017 21:52:36
31469,2,0.01,0.301,4.473935918171707,15-02-2017 21:52:43
31601,2,0.01,0.301,4.47393591817112,15-02-2017 21:52:52
31332,2,0.01,0.301,4.473935918172003,15-02-2017 21:53:00
31819,2,0.01,0.301,4.473935918170968,15-02-2017 21:53:06
31336,2,0.01,0.301,4.473935918172272,15-02-2017 21:53:12
31906,2,0.01,0.301,4.4739359181707,15-02-2017 21:53:18
31189,2,0.01,0.301,4.473935918172879,15-02-2017 21:53:24
31850,2,0.01,0.301,4.47393591817038,15-02-2017 21:53:33
31501,2,0.01,0.301,4.4739359181717395,15-02-2017 21:53:39
31671,2,0.01,0.301,4.473935918170761,15-02-2017 21:53:45
31437,2,0.01,0.301,4.47393591817168,15-02-2017 21:53:53
31450,2,0.01,0.301,4.473935918172137,15-02-2017 21:53:59
31416,2,0.01,0.301,4.473935918171903,15-02-2017 21:54:05
31750,2,0.01,0.301,4.473935918171176,15-02-2017 21:54:13
31597,2,0.01,0.301,4.473935918171866,15-02-2017 21:54:18
31774,2,0.01,0.301,4.473935918170701,15-02-2017 21:54:24
31688,2,0.01,0.301,4.473935918170768,15-02-2017 21:54:33
31470,2,0.01,0.301,4.47393591817129,15-02-2017 21:54:38
31818,2,0.01,0.301,4.473935918170096,15-02-2017 21:54:44
31465,2,0.01,0.301,4.473935918171599,15-02-2017 21:54:50
32043,2,0.01,0.301,4.473935918170408,15-02-2017 21:54:55
31615,2,0.01,0.301,4.473935918170976,15-02-2017 21:55:01
31763,2,0.01,0.301,4.47393591817057,15-02-2017 21:55:07
31625,2,0.01,0.301,4.473935918170934,15-02-2017 21:55:12
31381,2,0.01,0.301,4.473935918171945,15-02-2017 21:55:18
