iteration,norm,alpha,lam,rms,timestamp
0,2,0,0,5.069317392966742,15-02-2017 21:36:14
1,2,0,0,5.069317392953516,15-02-2017 21:36:19
2,2,0,0,5.069317392950945,15-02-2017 21:36:24
3,2,0,0,5.069317392951262,15-02-2017 21:36:30
4,2,0,0,5.069317392947227,15-02-2017 21:36:35
5,2,0,0,5.069317392971743,15-02-2017 21:36:40
6,2,0,0,5.069317392961399,15-02-2017 21:36:45
7,2,0,0,5.069317392949637,15-02-2017 21:36:51
8,2,0,0,5.069317392948824,15-02-2017 21:36:56
9,2,0,0,5.0693173929695075,15-02-2017 21:37:01
10,2,0,0,5.069317392947647,15-02-2017 21:37:07
11,2,0,0,5.06931739295702,15-02-2017 21:37:12
12,2,0,0,5.0693173929517314,15-02-2017 21:37:18
13,2,0,0,5.069317392956895,15-02-2017 21:37:23
14,2,0,0,5.069317392946399,15-02-2017 21:37:28
15,2,0,0,5.069317392951591,15-02-2017 21:37:34
16,2,0,0,5.069317392944977,15-02-2017 21:37:39
17,2,0,0,5.069317392961592,15-02-2017 21:37:44
18,2,0,0,5.069317392945147,15-02-2017 21:37:49
19,2,0,0,5.069317392978396,15-02-2017 21:37:54
20,2,0,0,5.0693173929750035,15-02-2017 21:38:00
21,2,0,0,5.069317392949018,15-02-2017 21:38:05
22,2,0,0,5.069317392947073,15-02-2017 21:38:10
23,2,0,0,5.069317392947379,15-02-2017 21:38:16
24,2,0,0,5.069317392946381,15-02-2017 21:38:22
25,2,0,0,5.069317392966282,15-02-2017 21:38:27
26,2,0,0,5.069317392967807,15-02-2017 21:38:32
27,2,0,0,5.069317392954307,15-02-2017 21:38:38
28,2,0,0,5.0693173929853295,15-02-2017 21:38:43
29,2,0,0,5.0693173929411826,15-02-2017 21:38:49
30,2,0,0,5.069317392962411,15-02-2017 21:38:55
31,2,0,0,5.069317392961795,15-02-2017 21:39:01
32,2,0,0,5.069317392957713,15-02-2017 21:39:07
33,2,0,0,5.069317392957838,15-02-2017 21:39:13
34,2,0,0,5.0693173929634305,15-02-2017 21:39:18
35,2,0,0,5.0693173929662825,15-02-2017 21:39:24
36,2,0,0,5.069317392960567,15-02-2017 21:39:30
37,2,0,0,5.069317392961142,15-02-2017 21:39:37
38,2,0,0,5.069317392964921,15-02-2017 21:39:43
39,2,0,0,5.069317392942383,15-02-2017 21:39:49
40,2,0,0,5.069317392956097,15-02-2017 21:39:56
41,2,0,0,5.069317392944271,15-02-2017 21:40:03
